lot_id,medication_id,location_id,quantity,manufacture_date,expiry_date
LOT-202508-1000,MED001,LOC002,230,2025-08-02,2027-09-17
LOT-202603-1001,MED001,LOC003,141,2026-03-28,2028-09-29
LOT-202506-1002,MED001,LOC004,103,2025-06-28,2028-02-04
LOT-202507-1003,MED001,LOC004,46,2025-07-06,2028-02-25
LOT-202510-1004,MED001,LOC005,101,2025-10-05,2027-10-15
LOT-202602-1005,MED001,LOC005,87,2026-02-16,2028-12-22
LOT-202506-1006,MED001,LOC007,39,2025-06-09,2027-11-13
LOT-202509-1007,MED002,LOC001,515,2025-09-16,2027-11-04
LOT-202505-1009,MED002,LOC002,142,2025-05-21,2027-04-10
LOT-202504-1008,MED002,LOC002,186,2025-04-26,2027-11-02
LOT-202508-1010,MED002,LOC003,692,2025-08-11,2028-02-15
LOT-202512-1011,MED002,LOC004,128,2025-12-06,2028-01-25
LOT-202504-1012,MED002,LOC005,210,2025-04-23,2027-11-29
LOT-202602-1013,MED002,LOC006,254,2026-02-11,2028-05-26
LOT-202602-1014,MED002,LOC006,361,2026-02-28,2028-09-26
LOT-202507-1015,MED002,LOC007,47,2025-07-21,2027-07-28
LOT-202506-1017,MED003,LOC001,187,2025-06-03,2027-03-07
LOT-202503-1016,MED003,LOC001,196,2025-03-23,2027-06-16
LOT-202512-1018,MED003,LOC002,54,2025-12-16,2027-10-09
LOT-202509-1019,MED003,LOC002,46,2025-09-08,2028-02-26
LOT-202508-1020,MED003,LOC003,172,2025-08-12,2028-02-16
LOT-202603-1021,MED003,LOC003,93,2026-03-24,2028-03-01
LOT-202506-1022,MED003,LOC004,34,2025-06-15,2028-02-29
LOT-202505-1023,MED003,LOC005,97,2025-05-15,2027-06-03
LOT-202505-1025,MED003,LOC006,171,2025-05-19,2027-02-25
LOT-202508-1024,MED003,LOC006,261,2025-08-09,2027-04-16
LOT-202505-1026,MED003,LOC007,17,2025-05-30,2027-10-11
LOT-202506-1027,MED004,LOC001,442,2025-06-07,2027-08-10
LOT-202507-1028,MED004,LOC002,86,2025-07-11,2027-10-29
LOT-202510-1029,MED004,LOC003,56,2025-10-23,2027-08-26
LOT-202603-1030,MED004,LOC003,71,2026-03-16,2028-05-01
LOT-202507-1031,MED004,LOC004,63,2025-07-27,2027-03-01
LOT-202506-1032,MED004,LOC004,47,2025-06-16,2027-10-14
LOT-202508-1033,MED004,LOC005,71,2025-08-10,2028-04-05
LOT-202512-1034,MED004,LOC005,54,2025-12-27,2028-05-10
LOT-202604-1035,MED004,LOC006,142,2026-04-21,2028-03-10
LOT-202511-1036,MED004,LOC006,164,2025-11-13,2028-10-24
LOT-202505-1037,MED004,LOC007,7,2025-05-10,2027-03-23
LOT-202504-1038,MED005,LOC001,114,2025-04-13,2027-03-12
LOT-202511-1039,MED005,LOC001,121,2025-11-02,2028-04-17
LOT-202503-1040,MED005,LOC002,52,2025-03-11,2027-08-26
LOT-202511-1041,MED005,LOC002,30,2025-11-13,2027-12-12
LOT-202512-1042,MED005,LOC003,385,2025-12-20,2027-09-11
LOT-202512-1043,MED005,LOC004,34,2025-12-14,2027-06-19
LOT-202507-1045,MED005,LOC005,28,2025-07-06,2027-03-25
LOT-202507-1044,MED005,LOC005,46,2025-07-15,2027-09-12
LOT-202510-1047,MED005,LOC006,197,2025-10-07,2027-11-26
LOT-202510-1046,MED005,LOC006,158,2025-10-07,2028-04-10
LOT-202602-1048,MED005,LOC007,38,2026-02-23,2028-03-09
LOT-202503-1050,MED006,LOC001,484,2025-03-26,2027-05-01
LOT-202508-1049,MED006,LOC001,695,2025-08-21,2027-08-26
LOT-202603-1051,MED006,LOC002,337,2026-03-15,2028-03-21
LOT-202504-1052,MED006,LOC003,1124,2025-04-17,2027-06-13
LOT-202601-1053,MED006,LOC004,86,2026-01-12,2027-11-25
LOT-202506-1054,MED006,LOC005,258,2025-06-10,2028-02-01
LOT-202504-1056,MED006,LOC006,377,2025-04-19,2026-12-18
LOT-202510-1055,MED006,LOC006,284,2025-10-27,2027-12-17
LOT-202510-1057,MED006,LOC007,31,2025-10-24,2028-05-01
LOT-202602-1059,MED007,LOC001,481,2026-02-18,2028-04-18
LOT-202602-1058,MED007,LOC001,648,2026-02-08,2028-05-23
LOT-202505-1060,MED007,LOC002,467,2025-05-09,2027-07-24
LOT-202507-1061,MED007,LOC003,339,2025-07-05,2027-03-12
LOT-202508-1062,MED007,LOC003,237,2025-08-31,2027-04-14
LOT-202604-1064,MED007,LOC004,73,2026-04-16,2028-01-12
LOT-202508-1063,MED007,LOC004,80,2025-08-04,2028-03-25
LOT-202603-1066,MED007,LOC005,296,2026-03-21,2027-12-15
LOT-202510-1065,MED007,LOC005,236,2025-10-08,2028-03-31
LOT-202509-1068,MED007,LOC006,272,2025-09-01,2027-10-22
LOT-202508-1067,MED007,LOC006,571,2025-08-30,2028-08-08
LOT-202503-1070,MED007,LOC007,167,2025-03-27,2027-05-01
LOT-202512-1069,MED007,LOC007,115,2025-12-09,2027-08-22
LOT-202510-1071,MED008,LOC001,1756,2025-10-13,2027-05-11
LOT-202504-1073,MED008,LOC002,59,2025-04-05,2026-12-22
LOT-202603-1072,MED008,LOC002,71,2026-03-30,2028-05-16
LOT-202512-1075,MED008,LOC003,305,2025-12-15,2028-03-28
LOT-202509-1074,MED008,LOC003,281,2025-09-05,2028-07-26
LOT-202509-1076,MED008,LOC004,69,2025-09-27,2027-10-03
LOT-202505-1077,MED008,LOC004,101,2025-05-21,2027-11-16
LOT-202512-1078,MED008,LOC006,381,2025-12-22,2027-08-12
LOT-202507-1079,MED008,LOC006,292,2025-07-28,2028-01-17
LOT-202504-1081,MED008,LOC007,25,2025-04-04,2027-11-15
LOT-202507-1080,MED008,LOC007,38,2025-07-01,2028-01-19
LOT-202503-1082,MED009,LOC001,910,2025-03-20,2027-01-13
LOT-202601-1083,MED009,LOC001,438,2026-01-24,2027-08-07
LOT-202510-1085,MED009,LOC002,189,2025-10-22,2028-06-24
LOT-202512-1084,MED009,LOC002,198,2025-12-24,2028-09-07
LOT-202508-1086,MED009,LOC003,693,2025-08-10,2027-07-08
LOT-202508-1087,MED009,LOC003,318,2025-08-15,2027-11-11
LOT-202509-1089,MED009,LOC004,75,2025-09-22,2027-04-09
LOT-202602-1088,MED009,LOC004,159,2026-02-17,2027-11-07
LOT-202603-1091,MED009,LOC005,190,2026-03-26,2028-10-25
LOT-202603-1090,MED009,LOC005,438,2026-03-01,2028-12-16
LOT-202601-1092,MED009,LOC006,1711,2026-01-30,2028-11-17
LOT-202512-1094,MED009,LOC007,29,2025-12-14,2028-05-29
LOT-202604-1093,MED009,LOC007,29,2026-04-24,2028-12-05
LOT-202511-1096,MED010,LOC001,438,2025-11-25,2027-10-07
LOT-202506-1095,MED010,LOC001,329,2025-06-28,2028-01-27
LOT-202503-1097,MED010,LOC002,352,2025-03-31,2027-01-30
LOT-202504-1098,MED010,LOC003,314,2025-04-24,2027-01-06
LOT-202506-1099,MED010,LOC003,170,2025-06-24,2027-03-22
LOT-202601-1101,MED010,LOC004,71,2026-01-06,2027-12-14
LOT-202604-1100,MED010,LOC004,139,2026-04-15,2028-01-21
