inventory_id,medication_id,location_id,snapshot_date,quantity_on_hand,reorder_level,average_daily_usage,days_of_supply
INV-20250901-MED001-LOC001,MED001,LOC001,2025-09-01,1102,767,59.0,18.7
INV-20250901-MED001-LOC002,MED001,LOC002,2025-09-01,671,325,25.0,26.8
INV-20250901-MED001-LOC003,MED001,LOC003,2025-09-01,1153,728,56.0,20.6
INV-20250901-MED001-LOC004,MED001,LOC004,2025-09-01,462,78,6.0,77.0
INV-20250901-MED001-LOC005,MED001,LOC005,2025-09-01,503,351,27.0,18.6
INV-20250901-MED001-LOC006,MED001,LOC006,2025-09-01,338,806,62.0,5.5
INV-20250901-MED001-LOC007,MED001,LOC007,2025-09-01,261,39,3.0,87.0
INV-20250901-MED002-LOC001,MED002,LOC001,2025-09-01,1061,705,47.0,22.6
INV-20250901-MED002-LOC002,MED002,LOC002,2025-09-01,412,300,20.0,20.6
INV-20250901-MED002-LOC003,MED002,LOC003,2025-09-01,676,540,36.0,18.8
INV-20250901-MED002-LOC004,MED002,LOC004,2025-09-01,356,120,8.0,44.5
INV-20250901-MED002-LOC005,MED002,LOC005,2025-09-01,452,330,22.0,20.5
INV-20250901-MED002-LOC006,MED002,LOC006,2025-09-01,732,765,51.0,14.4
INV-20250901-MED002-LOC007,MED002,LOC007,2025-09-01,256,75,5.0,51.2
INV-20250901-MED003-LOC001,MED003,LOC001,2025-09-01,487,253,23.0,21.2
INV-20250901-MED003-LOC002,MED003,LOC002,2025-09-01,223,99,9.0,24.8
INV-20250901-MED003-LOC003,MED003,LOC003,2025-09-01,367,231,21.0,17.5
INV-20250901-MED003-LOC004,MED003,LOC004,2025-09-01,136,22,2.0,68.0
INV-20250901-MED003-LOC005,MED003,LOC005,2025-09-01,195,99,9.0,21.7
INV-20250901-MED003-LOC006,MED003,LOC006,2025-09-01,291,231,21.0,13.9
INV-20250901-MED003-LOC007,MED003,LOC007,2025-09-01,106,22,2.0,53.0
INV-20250901-MED004-LOC001,MED004,LOC001,2025-09-01,518,384,32.0,16.2
INV-20250901-MED004-LOC002,MED004,LOC002,2025-09-01,216,168,14.0,15.4
INV-20250901-MED004-LOC003,MED004,LOC003,2025-09-01,530,336,28.0,18.9
INV-20250901-MED004-LOC004,MED004,LOC004,2025-09-01,212,60,5.0,42.4
INV-20250901-MED004-LOC005,MED004,LOC005,2025-09-01,230,96,8.0,28.8
INV-20250901-MED004-LOC006,MED004,LOC006,2025-09-01,351,468,39.0,9.0
INV-20250901-MED004-LOC007,MED004,LOC007,2025-09-01,150,5,0.1,1500.0
INV-20250901-MED005-LOC001,MED005,LOC001,2025-09-01,503,403,31.0,16.2
INV-20250901-MED005-LOC002,MED005,LOC002,2025-09-01,227,91,7.0,32.4
INV-20250901-MED005-LOC003,MED005,LOC003,2025-09-01,391,390,30.0,13.0
INV-20250901-MED005-LOC004,MED005,LOC004,2025-09-01,158,52,4.0,39.5
INV-20250901-MED005-LOC005,MED005,LOC005,2025-09-01,161,91,7.0,23.0
INV-20250901-MED005-LOC006,MED005,LOC006,2025-09-01,341,299,23.0,14.8
INV-20250901-MED005-LOC007,MED005,LOC007,2025-09-01,134,13,1.0,134.0
INV-20250901-MED006-LOC001,MED006,LOC001,2025-09-01,1279,988,76.0,16.8
INV-20250901-MED006-LOC002,MED006,LOC002,2025-09-01,807,429,33.0,24.5
INV-20250901-MED006-LOC003,MED006,LOC003,2025-09-01,1458,702,54.0,27.0
INV-20250901-MED006-LOC004,MED006,LOC004,2025-09-01,491,169,13.0,37.8
INV-20250901-MED006-LOC005,MED006,LOC005,2025-09-01,642,312,24.0,26.8
INV-20250901-MED006-LOC006,MED006,LOC006,2025-09-01,892,962,74.0,12.1
INV-20250901-MED006-LOC007,MED006,LOC007,2025-09-01,405,13,1.0,405.0
INV-20250901-MED007-LOC001,MED007,LOC001,2025-09-01,2132,1111,101.0,21.1
INV-20250901-MED007-LOC002,MED007,LOC002,2025-09-01,844,341,31.0,27.2
INV-20250901-MED007-LOC003,MED007,LOC003,2025-09-01,1316,770,70.0,18.8
INV-20250901-MED007-LOC004,MED007,LOC004,2025-09-01,796,187,17.0,46.8
INV-20250901-MED007-LOC005,MED007,LOC005,2025-09-01,741,352,32.0,23.2
INV-20250901-MED007-LOC006,MED007,LOC006,2025-09-01,1523,572,52.0,29.3
INV-20250901-MED007-LOC007,MED007,LOC007,2025-09-01,467,253,23.0,20.3
INV-20250901-MED008-LOC001,MED008,LOC001,2025-09-01,746,702,54.0,13.8
INV-20250901-MED008-LOC002,MED008,LOC002,2025-09-01,445,247,19.0,23.4
INV-20250901-MED008-LOC003,MED008,LOC003,2025-09-01,628,442,34.0,18.5
INV-20250901-MED008-LOC004,MED008,LOC004,2025-09-01,288,156,12.0,24.0
INV-20250901-MED008-LOC005,MED008,LOC005,2025-09-01,342,143,11.0,31.1
INV-20250901-MED008-LOC006,MED008,LOC006,2025-09-01,591,429,33.0,17.9
INV-20250901-MED008-LOC007,MED008,LOC007,2025-09-01,168,104,8.0,21.0
INV-20250901-MED009-LOC001,MED009,LOC001,2025-09-01,2245,1572,131.0,17.1
INV-20250901-MED009-LOC002,MED009,LOC002,2025-09-01,883,444,37.0,23.9
INV-20250901-MED009-LOC003,MED009,LOC003,2025-09-01,2007,972,81.0,24.8
INV-20250901-MED009-LOC004,MED009,LOC004,2025-09-01,827,156,13.0,63.6
INV-20250901-MED009-LOC005,MED009,LOC005,2025-09-01,1019,420,35.0,29.1
INV-20250901-MED009-LOC006,MED009,LOC006,2025-09-01,1675,780,65.0,25.8
INV-20250901-MED009-LOC007,MED009,LOC007,2025-09-01,492,96,8.0,61.5
INV-20250901-MED010-LOC001,MED010,LOC001,2025-09-01,1640,780,65.0,25.2
INV-20250901-MED010-LOC002,MED010,LOC002,2025-09-01,622,336,28.0,22.2
INV-20250901-MED010-LOC003,MED010,LOC003,2025-09-01,1066,708,59.0,18.1
INV-20250901-MED010-LOC004,MED010,LOC004,2025-09-01,573,96,8.0,71.6
INV-20250901-MED010-LOC005,MED010,LOC005,2025-09-01,510,252,21.0,24.3
INV-20250901-MED010-LOC006,MED010,LOC006,2025-09-01,772,636,53.0,14.6
INV-20250901-MED010-LOC007,MED010,LOC007,2025-09-01,319,72,6.0,53.2
INV-20250901-MED011-LOC001,MED011,LOC001,2025-09-01,734,403,31.0,23.7
INV-20250901-MED011-LOC002,MED011,LOC002,2025-09-01,263,169,13.0,20.2
INV-20250901-MED011-LOC003,MED011,LOC003,2025-09-01,547,182,14.0,39.1
INV-20250901-MED011-LOC004,MED011,LOC004,2025-09-01,203,52,4.0,50.8
INV-20250901-MED011-LOC005,MED011,LOC005,2025-09-01,281,52,4.0,70.2
INV-20250901-MED011-LOC006,MED011,LOC006,2025-09-01,460,104,8.0,57.5
INV-20250901-MED011-LOC007,MED011,LOC007,2025-09-01,146,52,4.0,36.5
INV-20250901-MED012-LOC001,MED012,LOC001,2025-09-01,1004,624,52.0,19.3
INV-20250901-MED012-LOC002,MED012,LOC002,2025-09-01,526,168,14.0,37.6
INV-20250901-MED012-LOC003,MED012,LOC003,2025-09-01,971,444,37.0,26.2
INV-20250901-MED012-LOC004,MED012,LOC004,2025-09-01,455,120,10.0,45.5
INV-20250901-MED012-LOC005,MED012,LOC005,2025-09-01,430,144,12.0,35.8
INV-20250901-MED012-LOC006,MED012,LOC006,2025-09-01,652,456,38.0,17.2
INV-20250901-MED012-LOC007,MED012,LOC007,2025-09-01,296,48,4.0,74.0
INV-20250901-MED013-LOC001,MED013,LOC001,2025-09-01,466,338,26.0,17.9
INV-20250901-MED013-LOC002,MED013,LOC002,2025-09-01,218,182,14.0,15.6
INV-20250901-MED013-LOC003,MED013,LOC003,2025-09-01,305,143,11.0,27.7
INV-20250901-MED013-LOC004,MED013,LOC004,2025-09-01,147,39,3.0,49.0
INV-20250901-MED013-LOC005,MED013,LOC005,2025-09-01,189,104,8.0,23.6
INV-20250901-MED013-LOC006,MED013,LOC006,2025-09-01,347,169,13.0,26.7
