medication_id,location_id,risk_score,risk_level,predicted_stockout_date,days_to_stockout,primary_risk_factors,contributing_factors,mitigating_factors,confidence,recommended_review
MED001,LOC001,75.0,HIGH,2026-08-31,0.0,Acute low inventory buffer (0.0 days of supply on hand); Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (39 units, 78.0 DOS); Alternate certified supplier available with normal lead time (2d)",0.95,Rebalance regional network: initiate lateral transfer of 10 units from South Ambulatory & Surgical Center immediately.
MED001,LOC002,24.3,LOW,2026-09-26,26.5,None,Moderate inventory buffer (9.6 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (410 units) arriving in 2d from reliable vendor (96%); Regional surplus available at South Ambulatory & Surgical Center (39 units, 78.0 DOS); Alternate certified supplier available with normal lead time (2d)",0.95,No escalation required; inbound shipment (410 units) confirmed on schedule arriving in 2d. Maintain standard monitoring.
MED001,LOC003,78.3,HIGH,2026-09-03,3.2,Depleted inventory buffer (3.3 days of supply on hand); Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (39 units, 78.0 DOS); Alternate certified supplier available with normal lead time (2d)",0.95,Rebalance regional network: initiate lateral transfer of 10 units from South Ambulatory & Surgical Center immediately.
MED001,LOC004,40.1,MEDIUM,2026-09-23,23.1,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (39 units, 78.0 DOS); Alternate certified supplier available with normal lead time (2d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED001,LOC005,15.0,LOW,2026-09-24,24.4,None,Moderate inventory buffer (8.7 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (330 units) arriving in 1d from reliable vendor (96%); Regional surplus available at South Ambulatory & Surgical Center (39 units, 78.0 DOS); Alternate certified supplier available with normal lead time (2d)",0.95,No escalation required; inbound shipment (330 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED001,LOC006,97.9,CRITICAL,2026-08-31,0.0,Acute low inventory buffer (0.0 days of supply on hand); Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (39 units, 78.0 DOS); Alternate certified supplier available with normal lead time (2d)",0.95,"Declare acute critical shortage, expedite secondary supplier emergency PO, and execute urgent stock transfer of 11 units from South Ambulatory & Surgical Center."
MED001,LOC007,42.4,MEDIUM,,,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (2d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED002,LOC001,11.0,LOW,2026-09-25,25.5,None,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (692 units, 19.6 DOS); Alternate certified supplier available with normal lead time (7d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED002,LOC002,46.2,MEDIUM,2026-09-18,18.0,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (692 units, 19.6 DOS); Alternate certified supplier available with normal lead time (7d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED002,LOC003,39.3,MEDIUM,2026-09-20,20.0,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (7d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED002,LOC004,40.0,MEDIUM,2026-09-20,20.4,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (692 units, 19.6 DOS); Alternate certified supplier available with normal lead time (7d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED002,LOC005,39.7,MEDIUM,2026-09-15,15.0,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (692 units, 19.6 DOS); Alternate certified supplier available with normal lead time (7d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED002,LOC006,11.0,LOW,2026-09-25,25.7,None,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (692 units, 19.6 DOS); Alternate certified supplier available with normal lead time (7d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED002,LOC007,40.9,MEDIUM,2026-09-20,20.3,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (692 units, 19.6 DOS); Alternate certified supplier available with normal lead time (7d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED003,LOC001,39.5,MEDIUM,2026-09-18,18.5,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (17 units, 58.6 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED003,LOC002,56.8,HIGH,2026-09-11,11.1,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (17 units, 58.6 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Rebalance regional network: initiate lateral transfer of 10 units from South Ambulatory & Surgical Center immediately.
MED003,LOC003,39.6,MEDIUM,2026-09-17,17.5,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (17 units, 58.6 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED003,LOC004,48.0,MEDIUM,2026-09-09,9.5,Active replenishment purchase order delayed by carrier/supplier,Accelerating utilization (+35.6% 7d vs 30d usage); High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (17 units, 58.6 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Classify as emerging risk (+35.6% demand surge); dynamically adjust safety stock baseline upwards and trigger automated replenishment PO 5 days ahead of schedule.
MED003,LOC005,40.2,MEDIUM,2026-09-17,17.0,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (17 units, 58.6 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED003,LOC006,39.3,MEDIUM,2026-09-18,18.8,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (17 units, 58.6 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED003,LOC007,45.0,MEDIUM,,,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (3d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED004,LOC001,39.4,MEDIUM,2026-09-19,19.0,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at St. Jude Children's Pavilion (110 units, 38.5 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED004,LOC002,11.5,LOW,2026-09-27,27.1,None,High-criticality life-saving clinical medication,"Regional surplus available at St. Jude Children's Pavilion (110 units, 38.5 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED004,LOC003,15.0,LOW,2026-09-22,22.3,None,Moderate inventory buffer (7.2 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (280 units) arriving in 1d from reliable vendor (96%); Regional surplus available at St. Jude Children's Pavilion (110 units, 38.5 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,No escalation required; inbound shipment (280 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED004,LOC004,40.6,MEDIUM,2026-10-07,37.1,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (4d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED004,LOC005,39.9,MEDIUM,2026-09-17,17.7,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at St. Jude Children's Pavilion (110 units, 38.5 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED004,LOC006,49.8,MEDIUM,2026-09-12,12.2,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at St. Jude Children's Pavilion (110 units, 38.5 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED004,LOC007,42.9,MEDIUM,2026-09-16,16.3,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at St. Jude Children's Pavilion (110 units, 38.5 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED005,LOC001,11.1,LOW,2026-09-27,27.5,None,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (38 units, 59.4 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED005,LOC002,24.2,LOW,2026-09-23,23.2,None,Moderate inventory buffer (8.9 days of supply); High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (38 units, 59.4 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED005,LOC003,39.4,MEDIUM,2026-09-19,19.9,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (38 units, 59.4 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED005,LOC004,12.5,LOW,2026-10-04,34.3,None,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (38 units, 59.4 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED005,LOC005,11.6,LOW,2026-09-28,28.4,None,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (38 units, 59.4 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED005,LOC006,49.7,MEDIUM,2026-09-13,13.8,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (38 units, 59.4 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED005,LOC007,48.0,MEDIUM,,,Severe demand acceleration (+114.3% 7d vs 30d usage); Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (4d),0.95,Classify as emerging risk (+114.3% demand surge); dynamically adjust safety stock baseline upwards and trigger automated replenishment PO 5 days ahead of schedule.
MED006,LOC001,39.2,MEDIUM,2026-09-16,16.2,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1124 units, 20.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED006,LOC002,49.7,MEDIUM,2026-09-13,13.7,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1124 units, 20.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED006,LOC003,39.2,MEDIUM,2026-09-19,19.8,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (5d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED006,LOC004,15.0,LOW,2026-09-23,23.7,None,Moderate inventory buffer (9.0 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (150 units) arriving in 1d from reliable vendor (98%); Regional surplus available at Metro Memorial Health - Main (1124 units, 20.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,No escalation required; inbound shipment (150 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED006,LOC005,11.1,LOW,2026-09-26,26.5,None,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1124 units, 20.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED006,LOC006,15.0,LOW,2026-09-24,24.2,None,Moderate inventory buffer (8.3 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (1210 units) arriving in 1d from reliable vendor (98%); Regional surplus available at Metro Memorial Health - Main (1124 units, 20.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,No escalation required; inbound shipment (1210 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED006,LOC007,48.0,MEDIUM,2026-09-14,14.6,Active replenishment purchase order delayed by carrier/supplier,Accelerating utilization (+28.6% 7d vs 30d usage); High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1124 units, 20.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Classify as emerging risk (+28.6% demand surge); dynamically adjust safety stock baseline upwards and trigger automated replenishment PO 5 days ahead of schedule.
MED007,LOC001,49.5,MEDIUM,2026-09-12,12.4,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Westside Community Hospital (532 units, 19.0 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED007,LOC002,49.7,MEDIUM,2026-09-13,13.9,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Westside Community Hospital (532 units, 19.0 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED007,LOC003,15.0,LOW,2026-09-26,26.2,Active replenishment purchase order delayed by carrier/supplier,Moderate inventory buffer (8.3 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (1220 units) arriving in 1d from reliable vendor (95%); Regional surplus available at Westside Community Hospital (532 units, 19.0 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,No escalation required; inbound shipment (1220 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED007,LOC004,56.7,HIGH,2026-09-09,9.5,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Westside Community Hospital (532 units, 19.0 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Rebalance regional network: initiate lateral transfer of 106 units from Westside Community Hospital immediately.
MED007,LOC005,39.4,MEDIUM,2026-09-18,18.6,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (3d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED007,LOC006,49.5,MEDIUM,2026-09-12,12.4,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Westside Community Hospital (532 units, 19.0 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED007,LOC007,50.5,MEDIUM,2026-09-14,14.2,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Westside Community Hospital (532 units, 19.0 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED008,LOC001,39.3,MEDIUM,2026-10-15,45.1,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (5d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED008,LOC002,15.0,LOW,2026-09-25,25.1,None,Moderate inventory buffer (9.6 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (220 units) arriving in 1d from reliable vendor (96%); Regional surplus available at Central Academic Medical Center (1756 units, 45.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,No escalation required; inbound shipment (220 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED008,LOC003,39.4,MEDIUM,2026-09-18,18.3,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1756 units, 45.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED008,LOC004,40.1,MEDIUM,2026-09-27,27.1,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1756 units, 45.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED008,LOC005,75.0,HIGH,2026-08-31,0.0,Acute low inventory buffer (0.0 days of supply on hand); Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1756 units, 45.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Rebalance regional network: initiate lateral transfer of 125 units from Central Academic Medical Center immediately.
MED008,LOC006,39.3,MEDIUM,2026-09-21,21.8,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1756 units, 45.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED008,LOC007,63.8,HIGH,2026-09-07,7.0,Active replenishment purchase order delayed by carrier/supplier,Moderate inventory buffer (6.3 days of supply); High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (1756 units, 45.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Rebalance regional network: initiate lateral transfer of 100 units from Central Academic Medical Center immediately.
MED009,LOC001,38.1,MEDIUM,2026-09-13,13.3,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (1711 units, 22.7 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED009,LOC002,18.4,LOW,2026-09-26,26.2,None,Moderate inventory buffer (9.6 days of supply),"Confirmed inbound PO (700 units) arriving in 2d from reliable vendor (95%); Regional surplus available at Valley Regional Trauma Center (1711 units, 22.7 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,No escalation required; inbound shipment (700 units) confirmed on schedule arriving in 2d. Maintain standard monitoring.
MED009,LOC003,38.1,MEDIUM,2026-09-13,13.3,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (1711 units, 22.7 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED009,LOC004,30.4,MEDIUM,2026-09-16,16.7,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (1711 units, 22.7 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED009,LOC005,30.1,MEDIUM,2026-09-19,19.5,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (1711 units, 22.7 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED009,LOC006,30.1,MEDIUM,2026-09-22,22.2,Active replenishment purchase order delayed by carrier/supplier,None,Alternate certified supplier available with normal lead time (4d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED009,LOC007,38.9,MEDIUM,2026-09-28,28.7,Active replenishment purchase order delayed by carrier/supplier,None,"Confirmed inbound PO (100 units) arriving in 2d from reliable vendor (95%); Regional surplus available at Valley Regional Trauma Center (1711 units, 22.7 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED010,LOC001,8.4,LOW,2026-09-28,28.1,None,None,"Regional surplus available at Valley Regional Trauma Center (925 units, 20.9 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED010,LOC002,38.2,MEDIUM,2026-09-13,13.4,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (925 units, 20.9 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED010,LOC003,15.0,LOW,2026-09-27,27.1,None,Moderate inventory buffer (9.9 days of supply),"Confirmed inbound PO (800 units) arriving in 1d from reliable vendor (95%); Regional surplus available at Valley Regional Trauma Center (925 units, 20.9 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,No escalation required; inbound shipment (800 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED010,LOC004,30.6,MEDIUM,2026-09-22,22.9,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (925 units, 20.9 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED010,LOC005,30.3,MEDIUM,2026-09-15,15.4,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (925 units, 20.9 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED010,LOC006,30.2,MEDIUM,2026-09-21,21.2,Active replenishment purchase order delayed by carrier/supplier,None,Alternate certified supplier available with normal lead time (4d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED010,LOC007,31.0,MEDIUM,2026-09-18,18.4,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (925 units, 20.9 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED011,LOC001,39.2,MEDIUM,2026-09-17,17.5,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (5d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED011,LOC002,39.9,MEDIUM,2026-09-20,20.8,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Central Academic Medical Center (640 units, 17.2 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
