po_id,medication_id,location_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,status
PO-10001,MED001,LOC006,SUP001,2025-09-01,2025-09-06,2025-09-06,1400,1400,Delivered
PO-10002,MED002,LOC006,SUP010,2025-09-01,2025-09-08,2025-09-08,700,700,Delivered
PO-10003,MED004,LOC006,SUP001,2025-09-01,2025-09-05,2025-09-05,750,750,Delivered
PO-10004,MED006,LOC006,SUP001,2025-09-01,2025-09-06,2025-09-06,1180,1180,Delivered
PO-10005,MED021,LOC004,SUP002,2025-09-01,2025-09-05,2025-09-05,330,330,Delivered
PO-10006,MED030,LOC006,SUP004,2025-09-01,2025-09-06,2025-09-06,250,250,Delivered
PO-10007,MED033,LOC002,SUP004,2025-09-01,2025-09-07,2025-09-07,140,140,Delivered
PO-10008,MED039,LOC002,SUP006,2025-09-01,2025-09-09,2025-09-09,50,50,Delivered
PO-10009,MED039,LOC003,SUP006,2025-09-01,2025-09-09,2025-09-09,80,80,Delivered
PO-10010,MED039,LOC005,SUP006,2025-09-01,2025-09-09,2025-09-09,50,50,Delivered
PO-10011,MED039,LOC006,SUP006,2025-09-01,2025-09-09,2025-09-09,110,110,Delivered
PO-10012,MED052,LOC002,SUP015,2025-09-01,2025-09-04,2025-09-04,340,340,Delivered
PO-10013,MED053,LOC005,SUP010,2025-09-01,2025-09-07,2025-09-07,170,170,Delivered
PO-10014,MED060,LOC001,SUP015,2025-09-01,2025-09-03,2025-09-03,220,220,Delivered
PO-10015,MED063,LOC006,SUP004,2025-09-01,2025-09-08,2025-09-08,440,440,Delivered
PO-10016,MED068,LOC006,SUP004,2025-09-01,2025-09-07,2025-09-07,4880,4880,Delivered
PO-10017,MED072,LOC005,SUP006,2025-09-01,2025-09-08,2025-09-09,50,50,Delayed
PO-10018,MED073,LOC001,SUP004,2025-09-01,2025-09-07,2025-09-07,360,360,Delivered
PO-10019,MED073,LOC006,SUP004,2025-09-01,2025-09-07,2025-09-07,220,220,Delivered
PO-10020,MED074,LOC001,SUP006,2025-09-01,2025-09-09,2025-09-09,220,220,Delivered
PO-10021,MED074,LOC005,SUP006,2025-09-01,2025-09-09,2025-09-09,120,120,Delivered
PO-10022,MED074,LOC007,SUP006,2025-09-01,2025-09-09,2025-09-09,50,50,Delivered
PO-10023,MED005,LOC006,SUP001,2025-09-02,2025-09-07,2025-09-07,410,410,Delivered
